location,price,bill_of_sale,mortgage,repair,area_m2,number_of_room,floor,price_per_m2
Nəriman Nərimanov m.,90000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,45.0,1,2,2350.35568779757
Nəriman Nərimanov m.,290000,Çıxarış var,İpoteka var,Təmirsiz,176.0,4,7,2350.35568779757
Nəriman Nərimanov m.,320000,Çıxarış var,Ipoteka yoxdur,Təmirli,205.0,5,14,2350.35568779757
Nərimanov r.,385000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,135.0,4,5,2262.3388868301045
Nərimanov r.,180000,Çıxarış var,İpoteka var,Təmirli,60.0,2,14,2262.3388868301045
Dərnəgül m.,160000,Çıxarış var,İpoteka var,Təmirli,83.0,2,5,2143.023642504547
Nərimanov r.,185000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,64.0,2,5,2262.3388868301045
Gənclik m.,230000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,100.5,2,10,2404.484840820714
Nəriman Nərimanov m.,298000,Çıxarış var,Ipoteka yoxdur,Təmirli,100.0,2,8,2350.35568779757
Nəriman Nərimanov m.,176800,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,68.0,2,2,2350.35568779757
Nəriman Nərimanov m.,180000,Çıxarış var,Ipoteka yoxdur,Təmirli,78.0,1,10,2350.35568779757
Gənclik m.,350000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,167.0,3,9,2404.484840820714
Nərimanov r.,247140,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,123.6,3,7,2262.3388868301045
Nərimanov r.,178000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,142.0,3,8,2262.3388868301045
Nərimanov r.,312000,Çıxarış var,Ipoteka yoxdur,Təmirli,160.0,4,13,2262.3388868301045
Nəriman Nərimanov m.,159000,Çıxarış var,İpoteka var,Təmirli,55.0,2,5,2350.35568779757
Nərimanov r.,290000,Çıxarış var,İpoteka var,Təmirli,100.0,3,5,2262.3388868301045
Nəriman Nərimanov m.,275000,Çıxarış var,Ipoteka yoxdur,Təmirli,180.0,4,12,2350.35568779757
Nərimanov r.,295000,Çıxarış var,İpoteka var,Təmirli,130.0,3,14,2262.3388868301045
Nəriman Nərimanov m.,238000,Çıxarış var,İpoteka var,Təmirli,101.0,3,11,2350.35568779757
Nəriman Nərimanov m.,363000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,169.0,3,15,2350.35568779757
Nəriman Nərimanov m.,190000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,87.0,2,10,2350.35568779757
Nəriman Nərimanov m.,320000,Çıxarış var,Ipoteka yoxdur,Təmirli,156.0,3,5,2350.35568779757
Nəriman Nərimanov m.,220000,Çıxarış var,Ipoteka yoxdur,Təmirli,109.0,2,5,2350.35568779757
Nərimanov r.,193000,Çıxarış var,Ipoteka yoxdur,Təmirli,64.0,2,16,2262.3388868301045
Nəriman Nərimanov m.,92000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,45.0,1,11,2350.35568779757
Nərimanov r.,415000,Çıxarış var,İpoteka var,Təmirli,165.0,3,18,2262.3388868301045
Gənclik m.,159000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,57.0,2,12,2404.484840820714
Nəriman Nərimanov m.,220000,Çıxarış var,Ipoteka yoxdur,Təmirli,90.0,2,3,2350.35568779757
Nəriman Nərimanov m.,244000,Çıxarış var,İpoteka var,Təmirli,83.0,3,11,2350.35568779757
Nəriman Nərimanov m.,362000,Çıxarış var,Ipoteka yoxdur,Təmirli,119.0,3,8,2350.35568779757
Nəriman Nərimanov m.,270000,Çıxarış var,İpoteka var,Təmirli,126.0,3,17,2350.35568779757
Nərimanov r.,240000,Çıxarış var,İpoteka var,Təmirli,100.0,3,18,2262.3388868301045
Nəriman Nərimanov m.,250000,Çıxarış var,İpoteka var,Təmirli,100.0,3,2,2350.35568779757
Nərimanov r.,190000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,78.0,2,10,2262.3388868301045
Nəriman Nərimanov m.,148000,Çıxarış var,Ipoteka yoxdur,Təmirli,70.0,2,3,2350.35568779757
Gənclik m.,385000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,140.0,4,5,2404.484840820714
Nəriman Nərimanov m.,416000,Çıxarış var,İpoteka var,Təmirsiz,189.0,4,11,2350.35568779757
Gənclik m.,225000,Çıxarış yoxdur,İpoteka var,Təmirsiz,120.0,2,11,2404.484840820714
Nərimanov r.,178000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,142.0,3,8,2262.3388868301045
Nəriman Nərimanov m.,262000,Çıxarış var,Ipoteka yoxdur,Təmirli,108.0,3,14,2350.35568779757
Nəriman Nərimanov m.,259999,Çıxarış var,Ipoteka yoxdur,Təmirsiz,130.0,3,16,2350.35568779757
Nərimanov r.,155000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,53.0,2,3,2262.3388868301045
Nərimanov r.,217000,Çıxarış var,İpoteka var,Təmirli,112.0,3,15,2262.3388868301045
Nərimanov r.,244000,Çıxarış var,Ipoteka yoxdur,Təmirli,82.0,3,11,2262.3388868301045
Nərimanov r.,155000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,55.0,2,3,2262.3388868301045
Nəriman Nərimanov m.,260000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,100.3,2,8,2350.35568779757
Nərimanov r.,99000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,86.0,2,7,2262.3388868301045
Nəriman Nərimanov m.,265000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,153.0,3,19,2350.35568779757
Nəriman Nərimanov m.,380000,Çıxarış var,Ipoteka yoxdur,Təmirli,181.0,4,7,2350.35568779757
Nəriman Nərimanov m.,307000,Çıxarış var,Ipoteka yoxdur,Təmirli,160.0,4,7,2350.35568779757
Gənclik m.,450000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,142.0,3,5,2404.484840820714
Gənclik m.,129000,Çıxarış var,İpoteka var,Təmirli,58.0,1,4,2404.484840820714
Gənclik m.,153300,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,73.0,2,8,2404.484840820714
Nərimanov r.,359000,Çıxarış var,İpoteka var,Təmirli,139.0,3,15,2262.3388868301045
Nərimanov r.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,82.0,3,6,2262.3388868301045
Gənclik m.,225000,Çıxarış yoxdur,İpoteka var,Təmirsiz,119.0,2,11,2404.484840820714
Nəriman Nərimanov m.,350000,Çıxarış var,İpoteka var,Təmirli,210.0,5,8,2350.35568779757
Nəriman Nərimanov m.,320000,Çıxarış var,İpoteka var,Təmirli,170.0,4,10,2350.35568779757
Nərimanov r.,244000,Çıxarış var,İpoteka var,Təmirli,81.0,3,11,2262.3388868301045
Nəriman Nərimanov m.,140000,Çıxarış var,İpoteka var,Təmirli,62.0,2,8,2350.35568779757
Nəriman Nərimanov m.,388000,Çıxarış var,Ipoteka yoxdur,Təmirli,142.0,3,6,2350.35568779757
Nərimanov r.,199000,Çıxarış var,Ipoteka yoxdur,Təmirli,74.0,2,4,2262.3388868301045
Nəriman Nərimanov m.,159000,Çıxarış var,İpoteka var,Təmirli,55.0,2,5,2350.35568779757
Nəriman Nərimanov m.,200000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,104.0,3,17,2350.35568779757
Nərimanov r.,508860,Çıxarış var,Ipoteka yoxdur,Təmirsiz,231.0,4,4,2262.3388868301045
Nəriman Nərimanov m.,225000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,119.0,2,11,2350.35568779757
28 May m.,250000,Çıxarış var,İpoteka var,Təmirli,130.0,3,10,2292.720682644982
Nərimanov r.,259000,Çıxarış var,Ipoteka yoxdur,Təmirli,110.0,3,19,2262.3388868301045
Nəriman Nərimanov m.,262000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,103.0,3,11,2350.35568779757
Gənclik m.,248000,Çıxarış var,İpoteka var,Təmirli,145.0,3,7,2404.484840820714
Nəriman Nərimanov m.,278000,Çıxarış var,Ipoteka yoxdur,Təmirli,115.0,3,12,2350.35568779757
Nəriman Nərimanov m.,182500,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,73.0,2,12,2350.35568779757
Nərimanov r.,320000,Çıxarış var,İpoteka var,Təmirli,119.0,3,14,2262.3388868301045
Nərimanov r.,354000,Çıxarış var,İpoteka var,Təmirli,155.0,4,7,2262.3388868301045
Nərimanov r.,340000,Çıxarış var,İpoteka var,Təmirli,178.0,4,11,2262.3388868301045
Nərimanov r.,138000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,70.0,2,5,2262.3388868301045
Gənclik m.,355000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,143.0,3,12,2404.484840820714
Gənclik m.,283000,Çıxarış var,İpoteka var,Təmirli,110.0,3,8,2404.484840820714
Gənclik m.,283000,Çıxarış var,İpoteka var,Təmirli,110.0,3,8,2404.484840820714
Gənclik m.,385000,Çıxarış var,Ipoteka yoxdur,Təmirli,140.0,4,5,2404.484840820714
Nəriman Nərimanov m.,187000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,70.0,2,5,2350.35568779757
Nəriman Nərimanov m.,185000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,65.0,2,5,2350.35568779757
Nəriman Nərimanov m.,240000,Çıxarış var,İpoteka var,Təmirli,110.0,3,14,2350.35568779757
Nəriman Nərimanov m.,183000,Çıxarış var,İpoteka var,Təmirli,65.0,3,4,2350.35568779757
Gənclik m.,185000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,73.0,2,5,2404.484840820714
Nəriman Nərimanov m.,238000,Çıxarış var,İpoteka var,Təmirli,101.0,3,11,2350.35568779757
8 Noyabr m.,200000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,80.0,2,4,2189.8477742287632
28 May m.,207000,Çıxarış var,İpoteka var,Təmirli,77.0,2,8,2292.720682644982
Nəriman Nərimanov m.,395000,Çıxarış var,İpoteka var,Təmirli,148.0,3,15,2350.35568779757
Nəriman Nərimanov m.,159000,Çıxarış var,İpoteka var,Təmirli,55.0,2,5,2350.35568779757
Nəriman Nərimanov m.,267000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,103.0,3,2,2350.35568779757
Nəriman Nərimanov m.,258000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,105.0,2,10,2350.35568779757
Nəriman Nərimanov m.,220000,Çıxarış var,Ipoteka yoxdur,Təmirli,109.0,2,5,2350.35568779757
Gənclik m.,283000,Çıxarış var,Ipoteka yoxdur,Təmirli,115.0,3,8,2404.484840820714
Nərimanov r.,285000,Çıxarış var,Ipoteka yoxdur,Təmirli,117.0,3,7,2262.3388868301045
Nəriman Nərimanov m.,350000,Çıxarış var,İpoteka var,Təmirli,133.0,4,2,2350.35568779757
Nərimanov r.,156000,Çıxarış var,İpoteka var,Təmirli,55.0,2,8,2262.3388868301045
Gənclik m.,360000,Çıxarış var,Ipoteka yoxdur,Təmirli,140.0,4,3,2404.484840820714
Nərimanov r.,266700,Çıxarış var,İpoteka var,Təmirsiz,127.0,3,3,2262.3388868301045
Nəriman Nərimanov m.,201000,Çıxarış var,İpoteka var,Təmirli,105.0,3,8,2350.35568779757
Nərimanov r.,365000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,155.0,3,14,2262.3388868301045
Nəriman Nərimanov m.,217000,Çıxarış var,İpoteka var,Təmirli,102.0,3,5,2350.35568779757
Gənclik m.,350000,Çıxarış var,Ipoteka yoxdur,Təmirli,138.0,4,9,2404.484840820714
Nərimanov r.,140000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,52.0,1,11,2262.3388868301045
Gənclik m.,310000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,152.0,3,9,2404.484840820714
Nərimanov r.,262000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,101.0,3,11,2262.3388868301045
Nəriman Nərimanov m.,159000,Çıxarış var,İpoteka var,Təmirli,60.0,3,8,2350.35568779757
28 May m.,229000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,87.0,4,6,2292.720682644982
Nərimanov r.,150000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,75.0,2,2,2262.3388868301045
Nəriman Nərimanov m.,245000,Çıxarış var,İpoteka var,Təmirli,105.0,3,3,2350.35568779757
Nəriman Nərimanov m.,320000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,117.0,3,12,2350.35568779757
Nərimanov r.,172000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,82.0,2,7,2262.3388868301045
Nəriman Nərimanov m.,445000,Çıxarış var,Ipoteka yoxdur,Təmirli,180.0,4,12,2350.35568779757
Nərimanov r.,158000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,69.0,2,12,2262.3388868301045
Nəriman Nərimanov m.,164000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,86.6,2,5,2350.35568779757
Nəriman Nərimanov m.,225000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,106.9,3,15,2350.35568779757
Nəriman Nərimanov m.,203000,Çıxarış var,İpoteka var,Təmirli,101.0,3,8,2350.35568779757
Nərimanov r.,198000,Çıxarış var,Ipoteka yoxdur,Təmirli,80.0,2,4,2262.3388868301045
Nəriman Nərimanov m.,279000,Çıxarış var,İpoteka var,Təmirsiz,117.0,3,16,2350.35568779757
Nərimanov r.,165000,Çıxarış var,Ipoteka yoxdur,Təmirli,80.0,2,14,2262.3388868301045
Nəriman Nərimanov m.,193000,Çıxarış var,Ipoteka yoxdur,Təmirli,72.0,2,14,2350.35568779757
Nəriman Nərimanov m.,205000,Çıxarış var,Ipoteka yoxdur,Təmirli,74.0,2,6,2350.35568779757
Nərimanov r.,110000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,50.8,1,10,2262.3388868301045
Nərimanov r.,188000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,70.0,2,10,2262.3388868301045
Nəriman Nərimanov m.,340000,Çıxarış var,İpoteka var,Təmirsiz,157.1,3,4,2350.35568779757
Nəriman Nərimanov m.,280000,Çıxarış var,Ipoteka yoxdur,Təmirli,145.0,3,17,2350.35568779757
Nəriman Nərimanov m.,206700,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,106.0,2,6,2350.35568779757
Nərimanov r.,179000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,114.0,2,11,2262.3388868301045
Nəriman Nərimanov m.,191000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,155.0,3,18,2350.35568779757
Nəriman Nərimanov m.,275000,Çıxarış var,İpoteka var,Təmirli,175.0,4,12,2350.35568779757
Gənclik m.,350000,Çıxarış var,Ipoteka yoxdur,Təmirli,140.0,4,8,2404.484840820714
Nərimanov r.,260000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,97.0,3,9,2262.3388868301045
Nərimanov r.,312000,Çıxarış var,Ipoteka yoxdur,Təmirli,160.0,4,12,2262.3388868301045
Nərimanov r.,348000,Çıxarış var,İpoteka var,Təmirli,136.0,4,15,2262.3388868301045
Nərimanov r.,350000,Çıxarış var,Ipoteka yoxdur,Təmirli,175.0,4,2,2262.3388868301045
Nəriman Nərimanov m.,380000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,170.0,4,8,2350.35568779757
Gənclik m.,283000,Çıxarış var,İpoteka var,Təmirli,115.5,3,8,2404.484840820714
Nəriman Nərimanov m.,285000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,118.0,4,4,2350.35568779757
28 May m.,250000,Çıxarış var,Ipoteka yoxdur,Təmirli,130.0,3,10,2292.720682644982
Gənclik m.,375000,Çıxarış var,İpoteka var,Təmirli,160.0,4,17,2404.484840820714
Nərimanov r.,262000,Çıxarış var,Ipoteka yoxdur,Təmirli,105.0,3,11,2262.3388868301045
Nərimanov r.,140000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,70.7,2,5,2262.3388868301045
Nəriman Nərimanov m.,377000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,130.0,3,4,2350.35568779757
Nərimanov r.,262000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,105.0,3,11,2262.3388868301045
Nəriman Nərimanov m.,220000,Çıxarış var,Ipoteka yoxdur,Təmirli,109.0,2,5,2350.35568779757
Gənclik m.,319000,Çıxarış var,İpoteka var,Təmirli,120.0,3,14,2404.484840820714
Nəriman Nərimanov m.,308000,Çıxarış var,İpoteka var,Təmirsiz,154.0,3,9,2350.35568779757
Nəriman Nərimanov m.,450000,Çıxarış var,Ipoteka yoxdur,Təmirli,235.0,4,8,2350.35568779757
Nərimanov r.,175000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,65.0,3,15,2262.3388868301045
Nərimanov r.,368000,Çıxarış var,İpoteka var,Təmirli,130.0,3,8,2262.3388868301045
Nərimanov r.,409400,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,178.0,4,16,2262.3388868301045
Nərimanov r.,242000,Çıxarış var,İpoteka var,Təmirli,220.0,4,10,2262.3388868301045
28 May m.,189000,Çıxarış var,İpoteka var,Təmirli,74.0,2,10,2292.720682644982
Nəriman Nərimanov m.,150000,Çıxarış var,Ipoteka yoxdur,Təmirli,53.0,2,12,2350.35568779757
Nəriman Nərimanov m.,219000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,80.6,2,12,2350.35568779757
Nərimanov r.,193000,Çıxarış var,Ipoteka yoxdur,Təmirli,68.0,2,16,2262.3388868301045
Nəriman Nərimanov m.,270000,Çıxarış var,Ipoteka yoxdur,Təmirli,128.0,3,4,2350.35568779757
Nəriman Nərimanov m.,225000,Çıxarış var,Ipoteka yoxdur,Təmirli,95.0,2,16,2350.35568779757
Nəriman Nərimanov m.,310000,Çıxarış var,Ipoteka yoxdur,Təmirli,240.0,4,12,2350.35568779757
Nəriman Nərimanov m.,268000,Çıxarış var,Ipoteka yoxdur,Təmirli,87.0,2,9,2350.35568779757
Nəriman Nərimanov m.,300000,Çıxarış var,Ipoteka yoxdur,Təmirli,99.0,3,9,2350.35568779757
Gənclik m.,319000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,155.0,3,10,2404.484840820714
Nəriman Nərimanov m.,370000,Çıxarış var,Ipoteka yoxdur,Təmirli,130.0,3,12,2350.35568779757
Nəriman Nərimanov m.,284000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,167.0,3,3,2350.35568779757
Nəriman Nərimanov m.,387000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,198.0,4,2,2350.35568779757
Nərimanov r.,259000,Çıxarış var,Ipoteka yoxdur,Təmirli,106.0,2,10,2262.3388868301045
Nəriman Nərimanov m.,350000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,133.0,4,2,2350.35568779757
Nərimanov r.,276000,Çıxarış var,Ipoteka yoxdur,Təmirli,160.0,4,3,2262.3388868301045
Nəriman Nərimanov m.,330000,Çıxarış var,Ipoteka yoxdur,Təmirli,115.0,3,4,2350.35568779757
Nəriman Nərimanov m.,200000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,104.0,3,17,2350.35568779757
Nərimanov r.,198000,Çıxarış var,Ipoteka yoxdur,Təmirli,80.0,2,4,2262.3388868301045
Nərimanov r.,508860,Çıxarış var,Ipoteka yoxdur,Təmirsiz,231.0,4,4,2262.3388868301045
Nəriman Nərimanov m.,410000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,130.0,3,6,2350.35568779757
Gənclik m.,283000,Çıxarış var,Ipoteka yoxdur,Təmirli,107.0,3,8,2404.484840820714
Nəriman Nərimanov m.,255000,Çıxarış var,Ipoteka yoxdur,Təmirli,100.0,3,13,2350.35568779757
Nəriman Nərimanov m.,275000,Çıxarış var,Ipoteka yoxdur,Təmirli,103.0,3,10,2350.35568779757
Nəriman Nərimanov m.,270000,Çıxarış var,Ipoteka yoxdur,Təmirli,112.0,2,17,2350.35568779757
Nəriman Nərimanov m.,280000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,126.0,3,13,2350.35568779757
Nəriman Nərimanov m.,365000,Çıxarış var,Ipoteka yoxdur,Təmirli,125.0,3,6,2350.35568779757
Nəriman Nərimanov m.,330000,Çıxarış var,İpoteka var,Təmirsiz,175.0,4,6,2350.35568779757
Nərimanov r.,135000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,62.7,2,14,2262.3388868301045
8 Noyabr m.,288000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,157.0,3,6,2189.8477742287632
Nərimanov r.,150000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,150.0,3,18,2262.3388868301045
Nəriman Nərimanov m.,220000,Çıxarış var,İpoteka var,Təmirli,90.0,2,3,2350.35568779757
Nəriman Nərimanov m.,400000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,144.0,3,5,2350.35568779757
Gənclik m.,350000,Çıxarış var,İpoteka var,Təmirli,140.0,4,7,2404.484840820714
Gənclik m.,255000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,180.0,3,6,2404.484840820714
Nərimanov r.,165000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,75.0,2,5,2262.3388868301045
Gənclik m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,92.0,2,4,2404.484840820714
Nəriman Nərimanov m.,278000,Çıxarış var,İpoteka var,Təmirli,120.0,3,12,2350.35568779757
Gənclik m.,215000,Çıxarış var,İpoteka var,Təmirli,90.0,2,6,2404.484840820714
Gənclik m.,129000,Çıxarış var,İpoteka var,Təmirli,45.0,2,10,2404.484840820714
28 May m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,80.0,3,5,2292.720682644982
Gənclik m.,170000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,60.0,2,2,2404.484840820714
Gənclik m.,225000,Çıxarış yoxdur,İpoteka var,Təmirsiz,120.0,2,11,2404.484840820714
Gənclik m.,216000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,104.0,3,14,2404.484840820714
Nərimanov r.,385000,Çıxarış var,İpoteka var,Təmirli,145.2,3,11,2262.3388868301045
Nərimanov r.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,76.0,2,9,2262.3388868301045
Nərimanov r.,260000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,100.0,3,19,2262.3388868301045
Gənclik m.,165000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,74.0,2,7,2404.484840820714
Gənclik m.,185000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,61.0,2,3,2404.484840820714
Gənclik m.,210000,Çıxarış var,İpoteka var,Təmirsiz,90.0,2,3,2404.484840820714
Gənclik m.,148000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,71.0,2,5,2404.484840820714
Gənclik m.,192000,Çıxarış var,İpoteka var,Təmirli,67.0,2,4,2404.484840820714
Nəriman Nərimanov m.,219000,Çıxarış var,İpoteka var,Təmirsiz,82.0,2,12,2350.35568779757
Gənclik m.,360000,Çıxarış var,İpoteka var,Təmirli,140.0,4,3,2404.484840820714
Gənclik m.,155000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,68.0,2,5,2404.484840820714
Gənclik m.,186000,Çıxarış var,İpoteka var,Təmirli,72.0,2,7,2404.484840820714
Nəriman Nərimanov m.,275000,Çıxarış var,İpoteka var,Təmirli,170.0,4,12,2350.35568779757
Nəriman Nərimanov m.,224000,Çıxarış var,Ipoteka yoxdur,Təmirli,100.0,2,6,2350.35568779757
Nəriman Nərimanov m.,258000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,105.0,2,9,2350.35568779757
Nəriman Nərimanov m.,330000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,118.0,3,4,2350.35568779757
Nəriman Nərimanov m.,320000,Çıxarış var,İpoteka var,Təmirli,137.0,3,16,2350.35568779757
Nərimanov r.,262000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,105.0,3,11,2262.3388868301045
Nəriman Nərimanov m.,240000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,140.0,3,6,2350.35568779757
Nəriman Nərimanov m.,175000,Çıxarış var,Ipoteka yoxdur,Təmirli,80.0,3,5,2350.35568779757
Nəriman Nərimanov m.,179000,Çıxarış var,İpoteka var,Təmirli,85.0,2,4,2350.35568779757
Nəriman Nərimanov m.,350000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,133.0,4,2,2350.35568779757
Nəriman Nərimanov m.,300000,Çıxarış var,İpoteka var,Təmirli,86.0,3,3,2350.35568779757
Nəriman Nərimanov m.,139900,Çıxarış var,İpoteka var,Təmirli,60.0,2,12,2350.35568779757
Nəriman Nərimanov m.,179000,Çıxarış var,İpoteka var,Təmirli,80.0,2,5,2350.35568779757
Nərimanov r.,418404,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,199.2,5,12,2262.3388868301045
Nərimanov r.,312200,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,111.5,3,6,2262.3388868301045
Nəriman Nərimanov m.,159000,Çıxarış var,İpoteka var,Təmirli,55.0,2,5,2350.35568779757
Nəriman Nərimanov m.,148000,Çıxarış var,İpoteka var,Təmirli,65.0,2,3,2350.35568779757
Nərimanov r.,250000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,80.0,3,15,2262.3388868301045
Gənclik m.,415000,Çıxarış var,İpoteka var,Təmirli,205.0,4,14,2404.484840820714
Nərimanov r.,215000,Çıxarış var,Ipoteka yoxdur,Təmirli,90.0,3,13,2262.3388868301045
Nəriman Nərimanov m.,177000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,102.6,3,8,2350.35568779757
Nəriman Nərimanov m.,193000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,85.0,2,12,2350.35568779757
Nəriman Nərimanov m.,285000,Çıxarış var,İpoteka var,Təmirsiz,176.0,4,7,2350.35568779757
Nərimanov r.,305000,Çıxarış var,İpoteka var,Təmirli,145.0,3,5,2262.3388868301045
Nəriman Nərimanov m.,254000,Çıxarış var,İpoteka var,Təmirli,106.0,3,13,2350.35568779757
Nəriman Nərimanov m.,270000,Çıxarış var,İpoteka var,Təmirli,75.0,2,11,2350.35568779757
Nərimanov r.,300000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,148.8,3,7,2262.3388868301045
Nəriman Nərimanov m.,224000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,100.0,2,6,2350.35568779757
Nərimanov r.,150000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,53.0,2,8,2262.3388868301045
Nərimanov r.,285000,Çıxarış var,İpoteka var,Təmirsiz,206.0,3,8,2262.3388868301045
Nərimanov r.,250000,Çıxarış var,İpoteka var,Təmirsiz,117.0,3,9,2262.3388868301045
Nərimanov r.,130000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,82.0,2,14,2262.3388868301045
Nərimanov r.,130000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,56.0,2,10,2262.3388868301045
Nəriman Nərimanov m.,325000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,170.0,4,6,2350.35568779757
Nərimanov r.,180000,Çıxarış var,Ipoteka yoxdur,Təmirli,90.0,2,4,2262.3388868301045
Nəriman Nərimanov m.,295000,Çıxarış var,İpoteka var,Təmirli,188.0,4,5,2350.35568779757
